data_estrazione;provincia;comune;tipo;candidato_riferimento;nome;voti;percentuale
2024-11-19 08:56:43;Rimini;SANTARCANGELO DI ROMAGNA;CANDIDATO;;TEODORI LUCA;163;1,96
2024-11-19 08:56:43;Rimini;SANTARCANGELO DI ROMAGNA;CANDIDATO;;SERRA FEDERICO;88;1,06
2024-11-19 08:56:43;Rimini;SANTARCANGELO DI ROMAGNA;LISTA;SERRA FEDERICO;Candidati presidente;8297;100
2024-11-19 08:56:43;Rimini;SANTARCANGELO DI ROMAGNA;LISTA;SERRA FEDERICO;Liste;7815;100
2024-11-19 08:56:53;Rimini;SASSOFELTRIO;CANDIDATO;;UGOLINI ELENA;262;61,65
2024-11-19 08:56:53;Rimini;SASSOFELTRIO;CANDIDATO;;DE PASCALE MICHELE;152;35,76
2024-11-19 08:56:53;Rimini;SASSOFELTRIO;CANDIDATO;;TEODORI LUCA;6;1,41
2024-11-19 08:56:53;Rimini;SASSOFELTRIO;CANDIDATO;;SERRA FEDERICO;5;1,18
2024-11-19 08:56:53;Rimini;SASSOFELTRIO;LISTA;SERRA FEDERICO;Candidati presidente;425;100
2024-11-19 08:56:53;Rimini;SASSOFELTRIO;LISTA;SERRA FEDERICO;Liste;402;100
2024-11-19 08:57:04;Rimini;TALAMELLO;CANDIDATO;;DE PASCALE MICHELE;185;48,56
2024-11-19 08:57:04;Rimini;TALAMELLO;CANDIDATO;;UGOLINI ELENA;184;48,29
2024-11-19 08:57:04;Rimini;TALAMELLO;CANDIDATO;;TEODORI LUCA;9;2,36
2024-11-19 08:57:04;Rimini;TALAMELLO;CANDIDATO;;SERRA FEDERICO;3;0,79
2024-11-19 08:57:04;Rimini;TALAMELLO;LISTA;SERRA FEDERICO;Candidati presidente;381;100
2024-11-19 08:57:04;Rimini;TALAMELLO;LISTA;SERRA FEDERICO;Liste;366;100
2024-11-19 08:57:14;Rimini;VERUCCHIO;CANDIDATO;;DE PASCALE MICHELE;1662;50,09
2024-11-19 08:57:14;Rimini;VERUCCHIO;CANDIDATO;;UGOLINI ELENA;1507;45,42
2024-11-19 08:57:14;Rimini;VERUCCHIO;CANDIDATO;;TEODORI LUCA;116;3,50
2024-11-19 08:57:14;Rimini;VERUCCHIO;CANDIDATO;;SERRA FEDERICO;33;0,99
2024-11-19 08:57:14;Rimini;VERUCCHIO;LISTA;SERRA FEDERICO;Candidati presidente;3318;100
2024-11-19 08:57:14;Rimini;VERUCCHIO;LISTA;SERRA FEDERICO;Liste;3111;100
